,property_type,barrio,rooms,price,lat,lon,distancia_minima_escuela (m)
58507,Departamento,San Telmo,3.0,130000.0,-34.6236727,-58.3775946,44.4363899156033
58511,Departamento,San Nicolás,3.0,108000.0,-34.601712,-58.38927,50.843073419903604
58515,Departamento,Villa Crespo,3.0,142524.0,-34.59424979999999,-58.441151,198.72896182822274
58518,Departamento,Villa Crespo,3.0,140000.0,-34.601394,-58.44436500000001,246.95953021360623
58521,Departamento,Villa Crespo,3.0,145374.0,-34.59424979999999,-58.441151,198.72896182822274
58524,Departamento,Villa Crespo,3.0,129037.0,-34.59424979999999,-58.441151,198.72896182822274
58528,Departamento,Villa Crespo,3.0,126456.0,-34.59424979999999,-58.441151,198.72896182822274
58531,Departamento,Villa Lugano,3.0,51900.0,-34.6840729,-58.4679784,220.1813648861822
58536,Departamento,Parque Chacabuco,3.0,143000.0,-34.630637,-58.426741,210.56514454814194
58538,Departamento,Parque Patricios,3.0,99000.0,-34.629973,-58.40653100000001,129.7507580502208
58539,Departamento,Parque Patricios,3.0,73000.0,-34.646041,-58.4184,145.60413707984588
58540,Departamento,Villa del Parque,3.0,120000.0,-34.609282,-58.485725,254.64451683933552
58541,Departamento,Villa del Parque,3.0,113750.0,-34.600786,-58.496348,136.96544406704277
58544,Departamento,Villa Pueyrredón,3.0,148000.0,-34.581434,-58.50222700000001,74.34671754907463
58545,Departamento,Centro / Microcentro,3.0,79900.0,-34.603046,-58.372677,49.87844963841582
58552,PH,Paternal,4.0,140000.0,-34.602669,-58.472746,183.38732149987226
58568,Departamento,Once,4.0,143000.0,-34.6136411,-58.4069098,135.02791522141402
58613,Departamento,Caballito,4.0,120000.0,-34.61015,-58.461439,226.8580636395093
58636,Oficina,Centro / Microcentro,5.0,82000.0,-34.601811414400004,-58.375300616000004,89.28514484393664
58652,Casa,Flores,5.0,125000.0,-34.64202118,-58.45604324,106.52784927433571
58662,Oficina,San Nicolás,1.0,72900.0,-34.606523700000004,-58.3901595,140.18092393122305
58666,Departamento,Abasto,1.0,97812.0,-34.599388894,-58.412039489399994,66.95589796067077
58667,Departamento,Flores,1.0,85000.0,-34.62642570000001,-58.4652542,96.78333948718927
58672,Departamento,Retiro,1.0,77800.0,-34.5942654,-58.38317610000001,133.92733482747164
58674,Departamento,Almagro,1.0,93000.0,-34.605376799999995,-58.4171071,13.808687640917666
58678,Departamento,Palermo,1.0,139000.0,-34.5862984,-58.4385155,233.0839320841288
